source_pdf,bundle_dir,pages_extracted,record_rows,record_blocks_seen,parse_error_blocks,unparsed_nonblank_lines,error
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2020/2020-1/2020-1.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2020/round_1/2020-1,259,7510,7510,0,2072,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2020/2020-2/2020-2.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2020/round_2/2020-2,448,13415,13415,0,3584,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2020/2020-3/2020-3.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2020/round_3/2020-3,701,20999,20999,0,5608,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2020/2020-4/2020-4.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2020/round_4/2020-4,928,27828,27828,0,7424,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2021/2021-1/2021-1.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2021/round_1/2021-1,221,10148,10148,0,1547,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2021/2021-2/2021-2.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2021/round_2/2021-2,443,20363,20363,0,3101,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2021/2021-3/2021-3.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2021/round_3/2021-3,497,23327,23327,0,3479,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2021/2021-4/2021-4.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2021/round_4/2021-4,565,26515,26515,0,3390,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2022/2022-1/2022-1.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2022/round_1/2022-1,206,9218,9218,0,1445,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2022/2022-2/2022-2.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2022/round_2/2022-2,579,18521,18521,0,4053,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2022/2022-3/2022-3.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2022/round_3/2022-3,750,24727,24727,0,5250,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2022/2022-4/2022-4.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2022/round_4/2022-4,967,30938,30938,0,6769,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2023/2023-1/2023-1.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2023/round_1/2023-1,431,14211,14211,0,3017,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2023/2023-2/2023-2.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2023/round_2/2023-2,1075,35474,35474,0,7525,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2023/2023-3/2023-3.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2023/round_3/2023-3,1347,44431,44431,0,9429,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2024/2024-1/2024-1.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2024/round_1/2024-1,553,17679,17679,0,3871,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2024/2024-2/2024-2.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2024/round_2/2024-2,1357,43403,43403,0,9500,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2024/2024-3/2024-3.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2024/round_3/2024-3,1461,46723,46723,0,10227,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2025/2025-1/GENERAL_ACADEMIC_ROUND1_2025.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2025/round_1/GENERAL_ACADEMIC_ROUND1_2025,608,26719,26719,0,4256,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2025/2025-2/GEN_ALLOTMENT_ROUND_2_2025.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2025/round_2/GEN_ALLOTMENT_ROUND_2_2025,1171,52682,52682,0,8197,
/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/2025/2025-3/Round3-gen-allotments.pdf,/home/mdhaarith/Desktop/Data_Extractor/Inputs/Allotement/organized_output/2025/round_3/Round3-gen-allotments,1114,50093,50093,0,7798,
