rank,college_code,college_name,district,composite_score,selectivity_score,academic_quality_score,branch_strength_score,institutional_quality_score,web_reputation_score,trend_score
1,1315,"Sri Sivasubramaniya Nadar College of Engineering (Autonomous), Kalavakkam, Old Mahabalipuram Road (OMR), Chengalpattu District 603110",,93.9599,97.6922,98.8108,87.7126,94.7326,56.884,91.6667
2,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",,91.8191,97.5189,99.158,88.8899,70.1919,50.0,92.5
3,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044",,91.0918,98.7831,99.5751,74.9668,73.7965,50.0,94.1667
4,2377,"PSG Institute of Technology and Applied Research, Avinashi Road, Neelambur, Coimbatore 641062",Coimbatore,90.9476,95.5052,96.8979,80.6633,89.0872,50.0,95.0
5,1399,"Chennai Institute of Technology, Puduper Village, Nandambakkam Post, Kundrathur, Chennai 600069",,89.8406,94.6669,95.004,85.2704,82.7733,45.303,97.0833
6,2006,"PSG College of Technology (Autonomous), Peelamedu, Coimbatore District 641004",,88.1221,94.7767,96.9538,60.3661,88.1977,50.0,92.9167
7,2712,"Kumaraguru College of Technology (Autonomous), Chinnavedampatti Post, Coimbatore District 641006",,87.4256,91.9243,94.5322,72.6579,79.9128,53.6744,95.8333
8,2007,"Coimbatore Institute of Technology (Autonomous), Civil Aerodrome Post, Coimbatore District 641014",,86.7382,94.779,97.0116,60.741,73.3198,45.3938,93.3333
9,2005,"Government College of Technology (Autonomous), Thadagam Road, Coimbatore District 641013",,86.3254,88.3835,93.2536,72.8041,91.657,50.0,92.0833
10,5008,"Thiagarajar College of Engineering (Autonomous),Tirupparankundram, Madurai District 625015",,85.7646,94.3114,95.5367,35.7103,87.0465,71.9795,93.75
11,2718,"Sri Krishna College of Enginering and Technology (Autonomous) , Kuniamuthur, Coimbatore District 641008",,84.9769,88.5811,88.7331,76.1638,87.1512,48.1419,97.9167
12,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",,82.8867,85.6731,87.5108,69.9107,91.6628,50.0,88.75
13,1219,"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.1, Chennai-Bengaluru High Road, Pennalur, Irungattukottai S.O., Sriperumbudur Taluk, Kancheepuram District 602105",,81.8563,84.5447,85.3059,66.6695,94.343,57.1248,85.8333
14,2764,"K P R Institute of Engineering and Technology (Autonomous), Kollupalayam Village, Arasur Panchayat, Coimbatore District 641407",,80.0506,82.2072,83.2716,68.2541,86.5116,51.1943,98.75
15,5901,"Alagappa Chettiar Government College of Engineering and Technology (Autonomous), Karaikudi, Sivagangai District 630004",,78.9604,81.2441,85.7762,59.4187,82.3721,50.0,94.5833
16,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",Chennai,78.7499,83.1912,87.8002,71.5038,48.1977,50.0,86.6667
17,2615,"Government College of Engineering (Autonomous), Karuppur, Salem District 636011",,78.6894,81.8139,88.3182,60.2349,67.8953,50.0,87.0833
18,1414,"Prince Shri Venkateshwara Padmavathy Engineering College, Ponmar, Chennai 600048",Chengalpattu,78.6816,83.9798,85.7799,66.5468,53.7093,50.0,99.5833
19,1432,"Rajalakshmi Institute of Technology, Irulapalayam, Kuthampakkam Post, Kancheepuram District, Chennai 600124",,78.0312,80.0203,80.7695,70.0852,80.1395,50.0,98.3333
20,2710,"Karpagam College of Engineering (Autonomous), Othakkalmandapam, Coimbatore District 641032",,77.8588,80.411,81.4341,67.4492,77.7384,50.0,97.5
21,2739,"Sri Eshwar College of Engineering (Autonomous), Kondampatti Post, Vadasithur (Via), Kinathukadavu, Coimbatore District 641202",,76.6398,78.9195,81.1769,66.3092,71.0291,50.0,99.1667
22,4974,"Government College of Engineering, Tirunelveli District 627007",,76.0412,80.6006,84.2227,59.5515,55.3721,48.5071,96.6667
23,1450,"Loyola ICAM College of Engineering and Technology, Loyola College Campus, Nungambakkam, Chennai 600034",Chennai,75.8027,77.6108,78.0924,62.1368,90.4186,50.0,90.4167
24,2025,"Anna University Regional Campus - Coimbatore, Maruthamalai Main Road, Navavoor Bharathiyar University Post, Somayampalayam, Coimbatore District 641046",,68.0752,72.8456,78.4439,58.0415,19.0698,50.0,90.8333
25,5012,"Central Electrochemical Research Institute CECRI), Karaikudi, Sivagangai District 630006",,66.9854,70.3307,70.2685,42.0492,80.3721,50.0,82.5
26,1442,"Prince Dr. K Vasudevan College of Engineering and Technology, Medavakkam- Mambakkam Road, Ponmar, Chennai 600127",Chengalpattu,65.4939,68.5136,68.8531,67.7803,28.5233,50.0,100.0
27,1113,"R M K Engineering College (Autonomous), Kavaraipettai, Gummidipoondi, Thiruvallur District 601206",,64.9722,67.1668,68.0882,53.5632,68.6163,38.8792,84.5833
28,2702,"Bannari Amman Institute of Technology (Autonomous), Sathyamanagalam, Erode District 638401",,64.637,64.5731,64.6669,48.609,92.7791,43.0152,89.1667
29,2709,"Government College of Engineering (Formerly Institute of Road and Transport Technology), Vasavi College Post, Erode District 638316",,64.2909,68.9607,72.3994,53.3351,19.5581,50.0,96.25
30,2603,"Government College of Engineering (Autonomous), Bargur, Krishnagiri District 635104",,64.0535,64.5699,66.8427,52.2529,62.1512,50.0,95.4167
31,1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",,63.7734,60.9457,66.4708,49.3857,85.907,47.4237,88.3333
32,2708,"Hindusthan College of Engineering and Technology (Autonomous), Othakkalmandapam Post, Coimbatore District 641032",,63.1447,62.286,68.56,39.3737,75.2965,50.0,90.0
33,2715,"Nandha Engineering College (Autonomous), Pitchandampalayam Post, Erode District 638052",,59.1371,56.7639,56.8018,50.9051,86.0058,50.0,85.0
34,2613,"K S R College of Engineering (Autonomous), Tiruchengode, Namakkal District 637215",,58.3148,56.8303,56.9866,51.444,77.4302,52.1312,74.5833
35,3806,"E G S Pillay Engineering College (Autonomous), Nagapattinam District 611002",,58.0704,53.6035,57.4463,51.8756,75.8198,61.8723,80.0
36,5907,"Mohamed Sathak Engineering College, Kilakarai, Ramanathapuram District 623806",,57.8045,55.8117,56.5567,53.4737,72.1919,50.0,82.0833
37,4962,"National Engineering College (Autonomous), Kovilpatti, Thoothukudi District 628503",,57.5981,54.6918,58.3598,39.2951,87.4128,51.1943,81.25
