sl_no,district,tfc_number,centre_name,address,full_address,search_query,google_maps_url,latitude,longitude,geocode_provider,geocode_address,geocode_status
1,Ariyalur,39,Government Polytechnic College Keelapalur,Ariyalur- 621707,"Government Polytechnic College Keelapalur, Ariyalur- 621707","Government Polytechnic College Keelapalur, Ariyalur- 621707, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College+Keelapalur%2C+Ariyalur-+621707%2C+Tamil+Nadu%2C+India,11.005178,79.070696,arcgis,"621707, Ariyalur, Tamil Nadu",resolved
2,Ariyalur,53,University College of Engineering Ariyalur,"Kathankudikadu Village, Thelur Post, Ariyalur, - 621731","University College of Engineering Ariyalur, Kathankudikadu Village, Thelur Post, Ariyalur - 621731","University College of Engineering Ariyalur, Kathankudikadu Village, Thelur Post, Ariyalur - 621731, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=University+College+of+Engineering+Ariyalur%2C+Kathankudikadu+Village%2C+Thelur+Post%2C+Ariyalur+-+621731%2C+Tamil+Nadu%2C+India,11.091133,79.159617,arcgis,"621731, Ariyalur, Tamil Nadu",resolved
3,Chengalpattu,7,Government Polytechnic College,"Bharathamadha Street Bharathipuram, Chromepet Chennai 600044",Government Polytechnic College Bharathamadha Street Bharathipuram Chromepet Chennai 600044,"Government Polytechnic College Bharathamadha Street Bharathipuram Chromepet Chennai 600044, Chengalpattu, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College+Bharathamadha+Street+Bharathipuram+Chromepet+Chennai+600044%2C+Chengalpattu%2C+Tamil+Nadu%2C+India,12.9560091,80.1435322,arcgis,"600044, Chromepet, Tamil Nadu",resolved
4,Chengalpattu,54,University Departments of Anna University,"Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District - 600, 044","University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District - 600044","University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District - 600044, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=University+Departments+of+Anna+University%2C+Chennai+-+MIT+Campus%2C+Chrompet%2C+Tambaram+Taluk%2C+Chengalpattu+District+-+600044%2C+Tamil+Nadu%2C+India,12.9560091,80.1435322,arcgis,"600044, Chromepet, Tamil Nadu",resolved
5,Chennai,1,"Central Polytechnic College, CIT Campus","Tharamani, Chennai - 600113. (Integerated, Workshop)","Central Polytechnic College, CIT Campus Tharamani, Chennai - 600113. (Integerated Workshop)","Central Polytechnic College, CIT Campus Tharamani, Chennai - 600113. (Integerated Workshop), Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Central+Polytechnic+College%2C+CIT+Campus+Tharamani%2C+Chennai+-+600113.+%28Integerated+Workshop%29%2C+Tamil+Nadu%2C+India,12.9952,80.244,arcgis,"600113, CIT Campus, Indian Institute Of Technology, Tharamani, Chennai, Tamil Nadu",resolved
6,Chennai,2,"Central Polytechnic College, CIT Campus","Tharamani, Chennai - 600113. (Integerated, Workshop)","Central Polytechnic College, CIT Campus Tharamani, Chennai - 600113. (Integerated Workshop)","Central Polytechnic College, CIT Campus Tharamani, Chennai - 600113. (Integerated Workshop), Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Central+Polytechnic+College%2C+CIT+Campus+Tharamani%2C+Chennai+-+600113.+%28Integerated+Workshop%29%2C+Tamil+Nadu%2C+India,12.9952,80.244,arcgis,"600113, CIT Campus, Indian Institute Of Technology, Tharamani, Chennai, Tamil Nadu",resolved
7,Chennai,3,"Institute of Chemical Technology, CIT","Campus, Tharamani Chennai-600113","Institute of Chemical Technology, CIT Campus, Tharamani Chennai-600113","Institute of Chemical Technology, CIT Campus, Tharamani Chennai-600113, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Institute+of+Chemical+Technology%2C+CIT+Campus%2C+Tharamani+Chennai-600113%2C+Tamil+Nadu%2C+India,13.0048983,80.244919,arcgis,"600113, Tharamani, Tamil Nadu",resolved
8,Chennai,4,"Central Polytechnic College, CIT Campus","Tharamani, Chennai - 600113. (Auditorium)","Central Polytechnic College, CIT Campus Tharamani, Chennai - 600113. (Auditorium)","Central Polytechnic College, CIT Campus Tharamani, Chennai - 600113. (Auditorium), Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Central+Polytechnic+College%2C+CIT+Campus+Tharamani%2C+Chennai+-+600113.+%28Auditorium%29%2C+Tamil+Nadu%2C+India,12.999121,80.247471,arcgis,Central Polytechnic College,resolved
9,Chennai,5,"Government Polytechnic College, R.K.Nagar",Chennai-600081,"Government Polytechnic College, R.K.Nagar, Chennai-600081","Government Polytechnic College, R.K.Nagar, Chennai-600081, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+R.K.Nagar%2C+Chennai-600081%2C+Tamil+Nadu%2C+India,13.136351,80.288951,arcgis,Govt Polytechnic College,resolved
10,Chennai,6,Government Polytechnic College,"No.1,Subbarayan Main Steet, Nammalvarpet, Purasawalkam, Chennai - 600012","Government Polytechnic College, No.1,Subbarayan Main Steet, Nammalvarpet, Purasawalkam, Chennai - 600012","Government Polytechnic College, No.1,Subbarayan Main Steet, Nammalvarpet, Purasawalkam, Chennai - 600012, Tamil Nadu, India",https://www.google.com/maps/search/?api=1&query=Government+Polytechnic+College%2C+No.1%2CSubbarayan+Main+Steet%2C+Nammalvarpet%2C+Purasawalkam%2C+Chennai+-+600012%2C+Tamil+Nadu%2C+India,13.0971409,80.2568073,arcgis,"600012, Otteri, Tamil Nadu",resolved
