year,community,students
2020,BC,54617
2020,BCM,4836
2020,MBC,26705
2020,OC,6425
2020,SC,15352
2020,SCA,2442
2020,ST,496
2021,BC,66251
2021,BCM,6149
2021,MBC,5371
2021,MBCDNC,11303
2021,MBCV,18555
2021,OC,6720
2021,SC,18990
2021,SCA,2956
2021,ST,678
2022,BC,73770
2022,BCM,7161
2022,MBC,42196
2022,OC,7552
2022,SC,21385
2022,SCA,3406
2022,ST,808
2023,BC,81452
2023,BCM,8580
2023,MBC,49887
2023,OC,8002
2023,SC,24090
2023,SCA,3843
2023,ST,890
2024,BC,89248
2024,BCM,9617
2024,MBC,57818
2024,OC,7813
2024,SC,27684
2024,SCA,4294
2024,ST,1127
2025,BC,104215
2025,BCM,12362
2025,MBC,72095
2025,OC,8831
2025,SC,34738
2025,SCA,5565
2025,ST,1493
