feature,importance_gain,importance_split
combo_avg_closing,502052.02869692445,2044
round_number,101790.8659761548,426
year,72125.32421246171,1143
lag_1_applicant_scaled,7088.33590093255,234
closing_rank_ema_3,6391.294485896826,702
combo_years_of_data,5096.1063242554665,644
college_avg_closing,4443.779337108135,502
total_applicants,3956.2521874010563,238
community_applicants,3687.570224672556,445
closing_rank_lag_1,3500.3414957225323,284
college_code,3084.105603426695,1306
seats_ratio,2622.8063263893127,382
closing_rank_lag_2,2451.124077230692,255
lag_1_community_scaled,1994.938772559166,182
branch_avg_closing,1838.8552324473858,367
applicant_ratio,1688.1483049690723,252
total_applicants_lag_1,1564.289992839098,107
seats_total,1458.1219257116318,307
seats_per_applicant,1291.6224284172058,243
closing_rank_delta_1,885.4154955744743,207
branch_code,765.1347105503082,403
seats_community,551.5695433914661,135
community_applicants_lag_1,536.5524823665619,182
community,168.94372403621674,62
competition_score,137.83889824151993,46
