year,mark_bucket,total_students,bucket_size,rank_min,rank_max,percentile_min,percentile_max,aggregate_mark_min,aggregate_mark_max,community_modes
2020,77,110873,7,110867,110873,99,100,77.5,77.75,MBC:3;SC:2;BC:1;BCM:1
2020,78,110873,66,110801,110866,99,99,78,78.75,SC:30;BC:18;MBC:15;BCM:3
2020,79,110873,217,110584,110800,99,99,79,79.75,SC:93;BC:57;MBC:53;BCM:13;ST:1
2020,80,110873,2476,108108,110583,97,99,80,80.75,SC:946;BC:790;MBC:596;BCM:115;ST:29
2020,81,110873,1390,106718,108107,96,97,81,81.75,SC:499;BC:473;MBC:332;BCM:73;ST:13
2020,82,110873,1332,105386,106717,95,96,82,82.75,SC:470;BC:444;MBC:353;BCM:54;ST:11
2020,83,110873,1366,104020,105385,93,95,83,83.75,SC:482;BC:444;MBC:346;BCM:75;ST:19
2020,84,110873,1282,102738,104019,92,93,84,84.75,BC:456;SC:431;MBC:321;BCM:62;ST:12
2020,85,110873,1249,101489,102737,91,92,85,85.75,BC:459;SC:397;MBC:322;BCM:49;OC:11
2020,86,110873,1274,100215,101488,90,91,86,86.75,BC:440;SC:405;MBC:351;BCM:60;OC:11
2020,87,110873,1239,98976,100214,89,90,87,87.75,BC:441;SC:382;MBC:333;BCM:67;OC:12
2020,88,110873,1251,97725,98975,88,89,88,88.5,BC:462;SC:374;MBC:302;BCM:67;OC:30
2020,89,110873,1261,96464,97724,87,88,89,89.75,BC:466;SC:374;MBC:324;BCM:55;OC:25
2020,90,110873,1216,95248,96463,85,87,90,90.75,BC:458;SC:337;MBC:323;BCM:65;OC:27
2020,91,110873,1228,94020,95247,84,85,91,91.75,BC:451;SC:346;MBC:338;BCM:54;OC:29
2020,92,110873,1248,92772,94019,83,84,92,92.75,BC:474;SC:337;MBC:333;BCM:62;OC:32
2020,93,110873,1239,91533,92771,82,83,93,93.75,BC:490;MBC:353;SC:305;BCM:56;OC:28
2020,94,110873,1181,90352,91532,81,82,94,94.5,BC:463;MBC:322;SC:295;BCM:70;OC:20
2020,95,110873,1199,89153,90351,80,81,95,95.75,BC:472;MBC:332;SC:290;BCM:64;OC:34
2020,96,110873,1157,87996,89152,79,80,96,96.5,BC:464;MBC:306;SC:288;BCM:60;OC:28
2020,97,110873,1213,86783,87995,78,79,97,97.5,BC:509;MBC:340;SC:280;BCM:55;OC:26
2020,98,110873,1236,85547,86782,77,78,98,98.5,BC:502;MBC:345;SC:303;BCM:54;OC:25
2020,99,110873,1207,84340,85546,76,77,99,99.5,BC:534;MBC:313;SC:253;BCM:59;OC:37
2020,100,110873,1214,83126,84339,74,76,100,100.75,BC:537;MBC:310;SC:262;BCM:62;OC:34
2020,101,110873,1122,82004,83125,73,74,101,101.75,BC:510;MBC:305;SC:227;BCM:50;OC:26
2020,102,110873,1201,80803,82003,72,73,102,102.5,BC:495;MBC:321;SC:267;BCM:61;OC:46
2020,103,110873,1159,79644,80802,71,72,103,103.5,BC:508;MBC:341;SC:220;BCM:51;OC:31
2020,104,110873,1158,78486,79643,70,71,104,104.75,BC:531;MBC:291;SC:229;BCM:66;OC:37
2020,105,110873,1164,77322,78485,69,70,105,105.5,BC:522;MBC:320;SC:227;BCM:47;OC:39
2020,106,110873,1172,76150,77321,68,69,106,106.5,BC:542;MBC:298;SC:228;BCM:58;OC:42
2020,107,110873,1201,74949,76149,67,68,107,107.75,BC:550;MBC:317;SC:232;BCM:58;OC:31
2020,108,110873,1199,73750,74948,66,67,108,108.75,BC:546;MBC:325;SC:229;BCM:53;OC:36
2020,109,110873,1160,72590,73749,65,66,109,109.5,BC:546;MBC:317;SC:204;BCM:55;OC:29
2020,110,110873,1124,71466,72589,64,65,110,110.75,BC:538;MBC:294;SC:198;BCM:52;OC:36
2020,111,110873,1166,70300,71465,63,64,111,111.75,BC:550;MBC:309;SC:209;BCM:49;OC:43
2020,112,110873,1120,69180,70299,62,63,112,112.75,BC:543;MBC:297;SC:177;BCM:64;OC:34
2020,113,110873,1152,68028,69179,61,62,113,113.5,BC:549;MBC:296;SC:208;BCM:54;OC:39
2020,114,110873,1163,66865,68027,60,61,114,114.5,BC:556;MBC:308;SC:188;BCM:65;OC:42
2020,115,110873,1179,65686,66864,59,60,115,115.5,BC:544;MBC:309;SC:208;BCM:61;OC:51
2020,116,110873,1073,64613,65685,58,59,116,116.75,BC:536;MBC:260;SC:181;BCM:51;OC:44
2020,117,110873,1127,63486,64612,57,58,117,117.75,BC:565;MBC:304;SC:178;BCM:47;OC:30
2020,118,110873,1083,62403,63485,56,57,118,118.75,BC:518;MBC:306;SC:175;BCM:42;OC:37
