RANK,COUNT
100005A,1
100008A,1
100455A,1
10104A,1
101128A,1
101674A,1
101695A,1
10176A,1
101853A,1
10188A,1
102418A,1
102438A,1
102692A,1
102907A,1
102A,1
10312A,1
103347A,1
103411A,1
10358A,1
10399A,1
104116A,1
104240A,1
104528A,1
104556A,1
104846A,1
105211A,1
105304A,1
10533A,1
10568A,1
105885A,1
10593A,1
106312A,1
106387A,1
106451A,1
106506A,1
106922A,1
107202A,1
107436A,1
10780A,1
107994A,1
108135A,1
10819A,1
10844A,1
108633A,1
10868A,1
10892A,1
10896A,1
10908A,1
109284A,1
109295A,1
109472A,1
109805A,1
109894A,1
109942A,1
109978A,1
110201A,1
110440A,1
110740A,1
111035A,1
111037A,1
111133A,1
111241A,1
111305A,1
111555A,1
111774A,1
111952A,1
112072A,1
11234A,1
11239A,1
112468A,1
112480A,1
112748A,1
113056A,1
11313A,1
113543A,1
113577A,1
113668A,1
1136A,1
11408A,1
114300A,1
11442A,1
11468A,1
11471A,1
11492A,1
114987A,1
11544A,1
115470A,1
11548A,1
1154A,1
11563A,1
11565A,1
11581A,2
116021A,1
116157A,1
116387A,1
116400A,1
116606A,2
116679A,1
116791A,1
11694A,1
117071A,1
117138A,1
117288A,1
117533A,1
117580A,1
117664A,1
117793A,1
117798A,1
117813A,1
117832A,1
11787A,1
11817A,1
1186A,1
11873A,1
118769A,1
11882A,1
119134A,1
119185A,1
119210A,1
119457A,1
11995A,1
12001A,1
120340A,1
1203A,1
120473A,1
120609A,1
120751A,1
120865A,1
120957A,1
12098A,1
121001A,1
121101A,1
1214A,1
12150A,1
121882A,1
12189A,1
1220A,1
122138A,1
122410A,1
123071A,1
123228A,1
123705A,1
124366A,1
124403A,1
1244A,1
124574A,1
12467A,1
124681A,1
124798A,1
124859A,1
125368A,1
12540A,1
125656A,1
125919A,1
126176A,1
126281A,1
12637A,1
12639A,1
12650A,1
12661A,1
12664A,1
12678A,1
126853A,1
127036A,1
127073A,1
127339A,1
127472A,1
128040A,1
12808A,1
128135A,1
128168A,1
128216A,1
12826A,1
12837B,1
12839A,1
128442A,1
128453A,1
128744A,1
12913A,1
12940A,1
12944A,1
129899A,1
129945A,1
130136A,1
130206A,1
13023A,1
130390A,1
13078A,1
130821A,1
130935A,1
131008A,1
131146A,1
13121A,1
131382A,1
131585A,1
131977A,1
133181A,1
133334A,1
133394A,1
133564A,1
133844A,1
134079A,1
134191A,1
134411A,1
134741A,1
134824A,1
134920A,1
134922A,1
134960A,1
13506A,1
13507A,1
135096A,1
13517A,1
135297A,1
135448A,1
135504A,1
135663A,1
135667A,1
135871A,1
13604A,1
13629A,1
136355A,1
136522A,1
136536A,1
136564A,1
136996A,1
13705A,1
13714A,1
13751A,1
13754A,1
13765A,1
13767A,1
137979A,1
13814A,1
138234A,1
138539A,1
138696A,1
138795A,1
139287A,1
139394A,1
139453A,1
139600A,1
13990A,1
14025A,1
140389A,1
1403A,1
140824A,1
140940A,1
141200A,1
14192A,1
142189A,1
142325A,1
142466A,1
142901A,1
143037A,1
143285A,1
14341A,1
14352A,1
143946A,1
14402A,1
144108A,1
14439A,1
144472A,1
144771A,1
144872A,1
14515A,1
145247A,1
14528A,1
145946A,1
146145A,1
146302A,1
146329A,1
14658A,2
146673A,1
146704A,1
14670A,1
