College_Code,College_Name,District,Website
1129,"Jaya School of Architecture, Poonamallee By-Pass Road, Poonamallee, Chennai 600 056",CHENNAI,www.jayaarchitecture.com
1130,"MARG Instiute of Design & Architecture Swarnabhoomi (MIDAS), Marg Swarnabhoomi, Velur Village, Cheyyur Post, Chengalpattu District 603302",603302,www.midas.ac.in
1132,"Rajalakshmi School of Architecture, Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105",602105,www.rajalakshmi.org/architecture
1135,"Aalim Muhammed Salegh Academy of Architecture, Muthapudupet, Avadi IAF, Chennai 600055",Thiruvallur,www.amsarch.ac.in
1138,"Da Vinci School of Design and Architecture, Rajiv Gandhi Salai, Karapakkam, Chennai, Chengalpattu District 600097",600097,-
1144,"R V S Padmavathy School of Architecture, Senthil Pakkam Village, Roshanagaram Post, Madarapakkam Via, Gummidipoondi Taluk, Thiruvallur District 601202",601202,https://rvschennai.edu.in/
1146,"Misrimal Navajee Munoth Jain School of Architecture, Rajiv Gandhi Salai (OMR), Thoraipakkam, Chengalpattu 600096",CHENNAI,www.mnmjsa.ac.in
1147,"MMES Academy of Architecture, C.Abdul Hakeem College Campus, Hakeem Nagar, Melvisharam, Ranipet District 632509",632509,-
1152,"CAAD-Chennai Academy of Architecture and Design, No.516-2, Kannigaiper, Chennai-Thirupathi Highway, Near Periyapalayam Amman Temple, Chennai 601102",TIRUVALLUR,www.caad.ac.in
1308,"Measi Academy of Architecture, ""Association Gardens"" 87, Peters Road, Royapettah, Chennai 600 014",CHENNAI,www.measiarch.in
1530,"Papni School of Architecture, 302/1, Keeranallur Village, Sriperumbudhur Taluk, Kancheepuram District, Chennai 602108",CHENNAI,https://papniarch.ac.in
2344,"Kongu School of Architecture, Kongu Engineering College Campus,Perundurai Railway Station Road, Thoppupalayam (Post), Perundurai,Erode District 638052",638052,http://www.ksakongu.edu.in/
2348,"San Academy of Architecture, ACC Pirivu,Navakarai Post,Walayar, Coimbatore District 641105",641105,www.sanarch.in
2364,"School of Architecture Coimbatore Institute of Engineering and Technology, Vellimalai Pattinam, Narasipuram Post, Thondamuture Via, Coimbatore-641109",COIMBATORE,www.soaciet.edu.in
2365,"Nehru School of Architecture, No.451-D,Palakkad Main Road,Kuniamuthur,Coimbatore District 641008",641008,nehruarchitectureschool.com
2372,Park Institute of Architecture,COIMBATORE,http://www.park.ac.in/
2373,"Hindusthan School of Architecture, Othakkalmandabam Post, Coimbatore District 641032",641032,www.hsoa.ac.in
2376,"Rathinam School of Architecture and Design at Tips Global, Rathinam Techzone campus, Pollachi Road, Eachanari, Coimbatore - 641021",COIMBATORE,https://www.rathinamcollege.edu.in/architectu
2379,PSG Institute Of Architecture And Planning,COIMBATORE,WWW.PSGIAP.AC.IN
2667,"Excel College of Architecture and Planning, NH-544, Salem Main Road, Pallakapalayam, Sankari West Post, Komarapalayam Taluk, Namakkal District 637303",637303,www.excelinstitutions.com/excel_arch/
2684,"TIPS School of Architecture, SF 361/1A, Karuvalur Road, MGC Palayam, S.S. Kulam Post, Coimbatore 641 107",COIMBATORE,https://rathinamarchitecture.com/
2728,"Tamilnadu School of Architecture, Tamilnadu College of Engineering Campus, Karumathampatti Post, Coimbatore District 641659",641659,www.tnsa.ac.in
2759,"McGan s Ooty School of Architecture, 5/635, Perar, Kothagiri Road, Mynala Post, Ooty, The Nilgiris 643002",NILGIRIS,www.mcgansarch.com
2778,"R.V.S. School of Architecture (CBE), Kumaran Kottam Campus, Trichy Road, Kannampalayam Post, Coimbatore District 641402",641402,-
2779,"Ranganathan Architecture College, REC Kalvi Nagar, Viraliyur Post, Thondamuthur Via, Coimbatore District 641109",641109,www.raccbe.ac.in
3446,"Prime College of Architecture and Planning, Main Road, Kilvelur, Nagapattinam District 611104",611104,primearch.ac.in and primearchitecture.in
3467,"Prime Nest College of Architecture and Planning,V.J.P.Campus,Trichy-Chennai Highway, Navaladiyan Nagar, Siruganur, Tiruchirappalli District 621105",621105,www.primenest.org
3783,"M.A.M. School of Architecture, Trichy-Chennai Trunk Road, Siruganur, Tiruchirappalli District 621105",621105,-
3784,"C.A.R.E School of Architecture, No.27, Thayanur Village, Kuttapatti, Srirangam Taluk, Tiruchirappalli District 620009",620009,www.care.ac.in/architecture
4671,"Sigma College of Architecture, Moododu, Anucode Post, Marthandam, Kanyakumari District 629168",629168,www.sigmacollege.edu.in
4679,Arul Tharum VPMM College of Architecture,VIRUDHUNAGAR,https://www.vpmm.in/
5544,"Agni School of Architecture and Design Excellence (ASADE),NH45,Trichy Road,Morepatty (Post),Vadamadurai (Via),Dindigul District 624 802",624 802,-
5863,"R V S Educational Trusts Group of Institutions, RVS Nagar, N Paraipatti Post, Dindigul - 624 005",DINDIGUL,https://www.rvsarchdgl.ac.in
